Year,Team,Wins,Playoff_Quality,G,MP,FG,FGA,FGPCT,3P,3PA,3PPCT,2P,2PA,2PPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFG,OFGA,OFGPCT,O3P,O3PA,O3PPCT,O2P,O2PA,O2PPCT,OFT,OFTA,OFTPCT,OORB,ODRB,OTRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS
2000,Atlanta Hawks,28.00,0.00,82.00,241.80,36.60,83.00,0.44,3.10,9.90,0.32,33.40,73.10,0.46,18.00,24.20,0.74,14.00,31.30,45.30,18.90,6.10,5.60,15.40,21.00,94.30,39.20,86.10,0.46,4.50,12.40,0.37,34.60,73.70,0.47,16.80,21.90,0.77,12.80,30.20,43.00,23.00,8.00,4.90,12.20,22.30,99.70
2000,Boston Celtics,35.00,0.00,82.00,240.60,37.20,83.90,0.44,5.10,15.40,0.33,32.20,68.50,0.47,19.80,26.50,0.75,13.50,29.50,43.00,21.20,9.70,3.50,15.40,27.10,99.30,36.10,76.90,0.47,4.40,12.10,0.36,31.70,64.70,0.49,23.50,31.30,0.75,10.50,30.90,41.40,21.90,7.80,5.80,17.00,23.50,100.10
2000,Charlotte Hornets,49.00,1.00,82.00,241.20,35.80,79.70,0.45,4.10,12.20,0.34,31.70,67.50,0.47,22.70,30.00,0.76,10.80,32.10,42.90,24.70,8.90,5.90,14.70,20.40,98.40,37.20,83.10,0.45,5.00,13.20,0.38,32.20,69.80,0.46,16.40,22.00,0.75,11.80,31.10,42.90,23.20,7.40,5.10,15.80,25.30,95.80
2000,Chicago Bulls,17.00,0.00,82.00,241.50,31.30,75.40,0.42,4.10,12.60,0.33,27.10,62.80,0.43,18.10,25.50,0.71,12.60,28.30,40.90,20.10,7.90,4.70,19.00,23.30,84.80,35.60,78.00,0.46,4.40,12.80,0.34,31.20,65.20,0.48,18.70,25.20,0.74,12.20,29.50,41.70,23.20,10.40,5.60,15.20,24.00,94.20
2000,Cleveland Cavaliers,32.00,0.00,82.00,242.10,36.30,82.10,0.44,4.20,11.20,0.37,32.10,70.90,0.45,20.20,26.90,0.75,12.30,30.50,42.80,23.70,8.70,4.40,17.40,27.10,97.00,36.40,82.10,0.44,5.10,15.00,0.34,31.30,67.20,0.47,22.60,29.10,0.78,12.40,31.50,43.90,23.70,8.00,6.10,16.90,25.10,100.50
2000,Dallas Mavericks,40.00,0.00,82.00,240.60,39.00,85.90,0.45,6.30,16.20,0.39,32.60,69.80,0.47,17.20,21.40,0.80,11.40,29.80,41.20,22.10,7.20,5.10,13.70,21.60,101.40,39.30,86.00,0.46,5.20,15.20,0.35,34.10,70.80,0.48,18.10,24.50,0.74,15.30,33.20,48.40,23.20,7.40,5.10,16.10,22.10,102.00
2000,Denver Nuggets,35.00,0.00,82.00,242.10,37.30,84.30,0.44,5.70,17.00,0.34,31.50,67.20,0.47,18.70,25.80,0.72,13.10,31.60,44.70,23.30,6.80,7.50,15.60,23.90,99.00,38.20,84.80,0.45,4.90,13.70,0.35,33.30,71.10,0.47,19.90,26.50,0.75,12.50,31.80,44.30,24.40,7.50,5.60,14.40,23.60,101.10
2000,Detroit Pistons,42.00,0.00,82.00,241.80,37.10,80.90,0.46,5.40,14.90,0.36,31.80,66.00,0.48,23.90,30.60,0.78,11.20,30.00,41.20,20.80,8.10,3.30,15.70,24.50,103.50,38.00,81.80,0.47,5.60,15.00,0.37,32.50,66.70,0.49,20.40,27.30,0.75,11.90,30.50,42.40,23.10,8.00,4.80,17.10,27.10,102.00
2000,Golden State Warriors,19.00,0.00,82.00,240.90,36.50,87.10,0.42,4.20,13.00,0.32,32.30,74.00,0.44,18.30,26.20,0.70,15.90,29.70,45.60,22.60,8.90,4.30,15.90,24.90,95.50,38.60,82.60,0.47,5.20,14.20,0.37,33.40,68.50,0.49,21.40,28.40,0.75,13.30,32.80,46.10,24.80,8.40,6.00,16.30,23.00,103.80
2000,Houston Rockets,34.00,0.00,82.00,241.80,36.60,81.30,0.45,7.10,19.80,0.36,29.50,61.50,0.48,19.20,26.20,0.73,12.30,31.50,43.80,21.60,7.50,5.30,17.40,20.30,99.50,39.30,86.30,0.46,4.30,12.10,0.35,35.10,74.20,0.47,17.40,22.30,0.78,12.50,29.90,42.40,22.70,9.00,5.30,13.70,22.40,100.30
